species,type,estimate,se
Abert's Towhee,intercept,0.3075402637707153,0.4058328391770755
Acadian Flycatcher,intercept,1.7958129504918419,0.2471142070585846
Acorn Woodpecker,intercept,0.10789261843259501,0.39674444382339086
Akikiki,intercept,1.3775772798464014,0.8412418563536871
Alagoas Tyrannulet,intercept,-0.4294725298584715,0.661362439040532
Alder Flycatcher,intercept,2.875294162546603,0.2623746994229392
Allen's Hummingbird,intercept,1.100313182051238,0.5302591425252678
Allpahuayo Antbird,intercept,0.8504051634446539,0.8118437714094976
Amani Sunbird,intercept,1.4965118297533362,0.615659033071624
American Crow,intercept,0.7725489045105899,0.09254213020665857
American Dipper,intercept,0.1561407047631298,0.4571449221511327
American Goldfinch,intercept,0.9287938433782257,0.09382095204553657
American Kestrel,intercept,0.972726436695692,0.25286752796920925
American Pipit,intercept,0.2844041701207296,0.32846277331754936
American Redstart,intercept,1.4787311245932009,0.1616795599303979
American Robin,intercept,1.4498495954257282,0.09246321299427902
American Three-toed Woodpecker,intercept,0.8500974930888842,0.44203076593370433
American Tree Sparrow,intercept,1.0306802238088502,0.349108828754198
Andaman Bulbul,intercept,1.0637595029652835,0.5309476837867947
Andaman Cuckooshrike,intercept,1.2931624532405805,0.7667018147531028
Andaman Serpent-Eagle,intercept,1.0962459396037145,0.7732331285868431
Andaman Teal,intercept,-0.2716146394276583,0.39633042454501777
Andaman Treepie,intercept,-0.09525150810695249,0.46702724967884973
Andaman Wood-Pigeon,intercept,1.0732142070992652,0.6696881530102203
Andaman Woodpecker,intercept,0.5537959648516655,0.56933678710702
Anna's Hummingbird,intercept,0.928729522141961,0.316606850086756
Antioquia Brushfinch,intercept,0.578572263951004,0.7443469535349372
Apolinar's Wren,intercept,0.7119263188265806,0.5968655399168777
Araripe Manakin,intercept,1.078475983099224,0.3945946670649647
Arctic Warbler,intercept,1.5952493608770415,0.7732193367024686
Arizona Woodpecker,intercept,0.47511888106222866,0.7129776233918054
Ash-throated Flycatcher,intercept,1.5785318600983422,0.3217212403915447
Audubon's Oriole,intercept,0.9189709994944268,0.8654710734360135
Azores Bullfinch,intercept,1.4833470269372508,0.509270325336794
Azure-rumped Tanager,intercept,1.1194662579083166,0.659758183057217
Bachman's Sparrow,intercept,0.7641111862345417,0.6499541381768278
Bahama Oriole,intercept,-0.5401170406666883,0.4867992052413131
Bahama Swallow,intercept,0.37783135917567034,0.5549448838356968
Bahia Antwren,intercept,0.8226995387870547,0.5535422102123522
Bahia Tapaculo,intercept,0.7877011552456156,0.771940109925614
Baird's Sparrow,intercept,1.712169034489102,0.5847298325086062
Baird's Trogon,intercept,0.9954842300417195,0.8091362539479227
Baltimore Oriole,intercept,1.4337128085446733,0.16102277674202425
Band-tailed Antwren,intercept,1.213096837271266,0.6526602563673289
Band-tailed Pigeon,intercept,0.8558001419011144,0.29821479865697453
Banded Cotinga,intercept,0.912424016610363,0.7506447795049038
Banded Sunbird,intercept,1.102932572262775,0.7331200246915396
Bank Swallow,intercept,0.20786303011164464,0.12384379128311386
Bar-tailed Godwit,intercept,0.04470528968910814,0.4768858698415922
Barbuda Warbler,intercept,1.0019489141196236,0.4363380191217886
Barn Owl,intercept,0.045497333264477025,0.47114829155652466
Barn Swallow,intercept,0.7431413622683303,0.09097782133439458
Barred Owl,intercept,1.8185472869098513,0.3386708733670573
Bates's Weaver,intercept,0.6574281942748599,0.7934613802671692
Baudo Oropendola,intercept,0.9820093599801688,0.8337315678979494
Bay-breasted Cuckoo,intercept,1.1801844688536012,0.6309725845919533
Bay-breasted Warbler,intercept,2.107011896686194,0.5690443408382201
Bay-vented Cotinga,intercept,0.9570006386349903,0.7550816804279313
Beck's Petrel,intercept,0.8954419543089237,0.7783936283106146
Belding's Yellowthroat,intercept,0.3619036607970614,0.47294291262710775
Bell's Sparrow,intercept,0.844107586361631,0.6321113173722429
Bell's Vireo,intercept,1.7013328582698648,0.3244698675838627
Belted Kingfisher,intercept,0.8279965080745506,0.2833681529024567
Bendire's Thrasher,intercept,0.10810966482676543,0.5658205506897434
Bengal Florican,intercept,-0.24690917002718826,0.7009036981089777
Bernier's Teal,intercept,0.7725608954175167,0.8331175198349907
Bewick's Wren,intercept,0.8737640497638274,0.23659458255265467
Bicolored Antpitta,intercept,1.0960703586207163,0.7800786626469868
Bicolored Antvireo,intercept,0.8380471845059522,0.8476800505272802
Black-and-white Warbler,intercept,1.5874217853653523,0.22647343422825622
Black-backed Woodpecker,intercept,1.1776102562862594,0.6409542131461045
Black-billed Cuckoo,intercept,1.2211890958605274,0.3942230495828264
Black-billed Magpie,intercept,0.745729869616617,0.180552781892369
Black-breasted Parrotbill,intercept,0.8791151102773046,0.8249910933193417
Black-breasted Puffleg,intercept,0.09780702684274667,0.7908965066490905
Black-capped Chickadee,intercept,1.0642556169459194,0.10770798186772704
Black-capped Vireo,intercept,0.9709908747200234,0.7949860417348831
Black-chinned Hummingbird,intercept,1.1385289091405946,0.24398973517022587
Black-chinned Sparrow,intercept,0.356267926770622,0.6888596473361771
Black-crested Titmouse,intercept,0.7872496822381634,0.5027613189904262
Black-eared Miner,intercept,0.3073064840499271,0.798535116658795
Black-headed Berryeater,intercept,0.8662633096777659,0.84586034702095525
Black-headed Grosbeak,intercept,1.272189836244149,0.2473080854198587
Black-headed Gull,intercept,0.10249474876913578,0.37839087753854633
Black-hooded Antwren,intercept,-0.06932759756824725,0.7923816669734001
Black-legged Kittiwake,intercept,0.44361777218115955,0.38041172725072825
Black-mantled Goshawk,intercept,0.857715726645361,0.8485122714662904
Black-spectacled Brushfinch,intercept,0.766644927790471,0.5975556741216995
Black-tailed Gnatcatcher,intercept,0.6098394868353947,0.4482893536798715
Black-tailed Godwit,intercept,-0.15796117220508366,0.40704830420183874
Black-throated Blue Warbler,intercept,1.2770493125138438,0.3304434779509535
Black-throated Gray Warbler,intercept,1.695286121773464,0.459584898763986
Black-throated Green Warbler,intercept,1.2877422452372222,0.21990178209332084
Black-throated Shrikebill,intercept,0.9993121637151776,0.8108107910106468
Black-throated Sparrow,intercept,2.105375658477537,0.31034778878820823
Black-whiskered Vireo,intercept,0.917696428927749,0.8632755991964776
Black-winged Starling,intercept,0.19825747757897072,0.7975276325128379
Black Phoebe,intercept,0.7663009376679886,0.4215204813026631
Black Stilt,intercept,-0.47633838504529613,0.569453868562771
Black Swift,intercept,0.3509418710118405,0.5959200499522477
Black Tinamou,intercept,0.8689904246806759,0.8504977587569675
Black Vulture,intercept,0.36177673366356833,0.16309347665110283
Blackburnian Warbler,intercept,2.2840618221920592,0.3804556830653234
Blackpoll Warbler,intercept,1.9522355286006707,0.4838560934619796
Blue-and-gold Tanager,intercept,1.0801298964075352,0.8456147171339901
Blue-banded Kingfisher,intercept,1.013377102651167,0.8482007476198904
Blue-billed Curassow,intercept,0.8984071868841669,0.8352967016112485
Blue-capped Hummingbird,intercept,0.16454376690509942,0.46541889638942885
Blue-capped Kingfisher,intercept,0.9552716964840191,0.780758971229278
Blue-eyed Ground-Dove,intercept,0.4186243285508269,0.7950612829052753
Blue-fronted Lorikeet,intercept,0.6183948024482687,0.7904997268156974
Blue-gray Gnatcatcher,intercept,2.6106203325424913,0.1547229666522853
Blue-headed Quail-Dove,intercept,0.2517186380045273,0.6990494602250562
Blue-headed Racquet-tail,intercept,0.6227721348133617,0.5969796844901039
Blue-headed Vireo,intercept,1.3692938463344286,0.2933351220425579
Blue-throated Macaw,intercept,0.7406081378673028,0.789298777852692
Blue-winged Warbler,intercept,1.4116194896048246,0.325661394718754
Blue Grosbeak,intercept,2.0234677490067683,0.2299983841989421
Blue Jay,intercept,0.8400798286446627,0.10243433208995334
Bluethroat,intercept,0.8694863935534985,0.7956652574021926
Boat-tailed Grackle,intercept,0.11534901616763626,0.2036253723250136
Bobolink,intercept,1.3710219353002016,0.187458135391342
Bogota Rail,intercept,1.2816446892265203,0.5927588741738675
Bohemian Waxwing,intercept,0.6111427275532977,0.4901714073061319
Boreal Chickadee,intercept,1.7765558959661014,0.32869375738362266
Botha's Lark,intercept,0.8498840451082663,0.8433363749031954
Botteri's Sparrow,intercept,0.47636964378703966,0.6581389444622723
Brant,intercept,-0.030545401601557054,0.3831465590685803
Brazilian Merganser,intercept,0.0915560206002567,0.864710289968905
Brewer's Blackbird,intercept,1.1299632438507292,0.15052202581193463
Brewer's Sparrow,intercept,2.2634915282830126,0.3317705586864996
Bridled Titmouse,intercept,-0.26026782871413745,0.5912750690963446
Bristled Grassbird,intercept,0.8794648622398316,0.8576376852507264
Broad-billed Hummingbird,intercept,0.6352355452559664,0.505279751215111
Broad-tailed Hummingbird,intercept,1.1520143040239335,0.26796757651438835
Broad-winged Hawk,intercept,1.4876032688721048,0.35860160623899967
Bronzed Cowbird,intercept,0.7226486535275103,0.4809601211262921
Brown-banded Antpitta,intercept,1.0556100691752974,0.79976132625928
Brown-crested Flycatcher,intercept,1.5964862324123263,0.5176691420474756
Brown-headed Cowbird,intercept,1.515620536432914,0.10372721033257597
Brown-headed Nuthatch,intercept,1.0790727032434537,0.3617359644747713
Brown Creeper,intercept,1.3717316146000762,0.2898623051008105
Brown Thrasher,intercept,1.2161747251607045,0.1770325764359347
Buff-bellied Hummingbird,intercept,0.32559443256211884,0.5943038890432181
Buff-breasted Tody-Tyrant,intercept,0.09148766740307823,0.6094370013755216
Bugun Liocichla,intercept,2.311604748029897,0.6104075269674417
Bullock's Oriole,intercept,1.3187202974285548,0.2397534588485156
Burrowing Owl,intercept,0.626639182917367,0.4579002525272181
Bushtit,intercept,0.40737603961086805,0.2762144977041484
Cactus Wren,intercept,0.1644537706379826,0.4432726456944368
California Quail,intercept,0.45115078563041666,0.22724449551749465
California Scrub-Jay,intercept,0.40053085583097037,0.38390360963621967
California Thrasher,intercept,1.0549737382038389,0.7910652444445153
California Towhee,intercept,1.6953330330868943,0.5453206027443992
Calliope Hummingbird,intercept,1.3062585356004253,0.4421679526613804
Canada Jay,intercept,1.4558347212866294,0.25937477276663273
Canada Warbler,intercept,0.6707805556733807,0.5486601021910684
Canyon Towhee,intercept,1.5335751025884408,0.4769557051175327
Canyon Wren,intercept,0.44436788451383,0.5048606576803377
Cape May Warbler,intercept,1.1971947322867595,0.42649135091142987
Cape Verde Swamp Warbler,intercept,0.7745791572117189,0.49837258030335685
Carolina Chickadee,intercept,1.1458010252449682,0.14007080072896252
Carolina Wren,intercept,1.2869803930558505,0.12902927272397474
Caroline Islands Ground-Dove,intercept,1.0699468104149392,0.5841983714464469
Carunculated Caracara,intercept,0.003447508576164826,0.5372460945847664
Cassin's Finch,intercept,1.0098364332653846,0.2859094141011187
Cassin's Kingbird,intercept,0.6363417733621093,0.4039317561950522
Cassin's Sparrow,intercept,2.074774103396266,0.443280304041017
Cassin's Vireo,intercept,1.9683750199935361,0.42857882275905007
Cauca Guan,intercept,0.9605111475912924,0.41911611186395387
Cave Swallow,intercept,-0.8351600631894945,0.34876943285264844
Cedar Waxwing,intercept,1.1616845915351313,0.10295286276035268
Cerulean Warbler,intercept,0.5521140639726969,0.37516929593012205
Chapin's Flycatcher,intercept,0.3877868513333931,0.7918103584896967
Chatham Island Pigeon,intercept,0.19107632257459595,0.3985096879035632
Chatham Islands Snipe,intercept,2.4089388495355646,0.5327528745342246
Cheer Pheasant,intercept,0.8993381055124541,0.8494302942579837
Chestnut-backed Chickadee,intercept,1.2160195483938696,0.25853293633843244
Chestnut-bellied Flowerpiercer,intercept,1.4146632802541745,0.6657706739759611
Chestnut-bellied Guan,intercept,-0.32575148054147995,0.5337728378694525
Chestnut-bellied Hummingbird,intercept,0.7720694625310042,0.7329865113120497
Chestnut-bellied Imperial-Pigeon,intercept,0.7251435317621133,0.7824616360941795
Chestnut-collared Longspur,intercept,1.4396187052023564,0.4528560904394435
Chestnut-necklaced Partridge,intercept,0.8677598262601015,0.8545168387583801
Chestnut-sided Warbler,intercept,1.9839587797494396,0.24623155324796206
Chihuahuan Raven,intercept,0.12774090262689808,0.4961947154918818
Chimney Swift,intercept,0.6838636283532589,0.11321637484863395
Chipping Sparrow,intercept,1.8674327115382852,0.10423257230922804
Cholo Alethe,intercept,0.15681789385298017,0.798058968134664
Chuck-will's-widow,intercept,1.8934538411650714,0.6104876404910223
Chukar,intercept,0.6152393606392134,0.5138408346065685
Clark's Nutcracker,intercept,-0.28246179889253054,0.3784185694431888
Clay-colored Sparrow,intercept,1.9989842249590661,0.23435338054906685
Cliff Swallow,intercept,0.9024939366747035,0.09866711375764928
Common Buzzard,intercept,0.7934749509117436,0.5903194429840494
Common Eider,intercept,-0.1069528062568027,0.32731375987495376
Common Goldeneye,intercept,-0.009366110323669408,0.5344098557876412
Common Grackle,intercept,0.9312729386099148,0.09519515255262853
Common Greenshank,intercept,0.5087090585342038,0.8674409632285088
Common Ground-Dove,intercept,1.1579606895816013,0.34001279995844386
Common House-Martin,intercept,0.8632544064278426,0.42900650061071455
Common Nighthawk,intercept,1.7544906009270536,0.26668507979838396
Common Pochard,intercept,-0.6107185341681088,0.38394376290721016
Common Poorwill,intercept,1.1075251955934293,0.4956875959994183
Common Raven,intercept,0.44832071337654505,0.13640828764952315
Common Redpoll,intercept,1.0809733590585222,0.24260208768013722
Common Redshank,intercept,-0.0452792746736026,0.32220147404603056
Common Ringed Plover,intercept,0.2677158950507842,0.5680333134022192
Common Shelduck,intercept,-0.02922561349608155,0.40861912049090066
Common Tern,intercept,-0.31682334786085675,0.42483508446923457
Common Wood-Pigeon,intercept,1.1889508643757436,0.3802998509578766
Common Yellowthroat,intercept,1.5766242021078725,0.12086687111310547
Connecticut Warbler,intercept,1.0634762889462692,0.6291609945964335
Cooper's Hawk,intercept,0.7142910838594971,0.4635182127959883
Cordilleran Flycatcher,intercept,0.7727040701132264,0.42505141195607016
Costa's Hummingbird,intercept,1.1592232858508187,0.563796584009343
Couch's Kingbird,intercept,0.6931874012843242,0.6302374327338492
Crested Caracara,intercept,0.12943074963720014,0.5972283085327489
Crimson-headed Partridge,intercept,-0.10603483168056982,0.5602302013163406
Crissal Thrasher,intercept,0.40296504467342725,0.7455720951975379
Cundinamarca Antpitta,intercept,0.7120626919044167,0.46920060503229344
Curve-billed Thrasher,intercept,0.732304758695594,0.4156327102575058
Dark-eyed Junco,intercept,1.6234707991552626,0.14483043714410562
Dickcissel,intercept,1.5645567273182663,0.1734657732465134
Downy Woodpecker,intercept,1.2757869557108388,0.14428649593861304
Dunlin,intercept,0.27905055296210945,0.3826576117111508
Dusky Flycatcher,intercept,1.5249256803542544,0.4904360217310761
Dusky Starfrontlet,intercept,0.8299742652637052,0.7990767531036291
Eastern Bluebird,intercept,1.5425425625663585,0.13266143367828545
Eastern Kingbird,intercept,1.3251207012787305,0.12989497148264384
Eastern Meadowlark,intercept,2.0498523912568465,0.18744748271285955
Eastern Phoebe,intercept,2.135558735754482,0.17195491019453713
Eastern Screech-Owl,intercept,0.43491397389294595,0.5436348032965235
Eastern Towhee,intercept,1.7284130899023262,0.13955560579667806
Eastern Whip-poor-will,intercept,1.653649010451891,0.40059769221589003
Eastern Wood-Pewee,intercept,1.1151097442548612,0.18047678650058735
Edwards's Pheasant,intercept,0.620182657361944,0.7916388111717264
Elf Owl,intercept,0.5539432953213912,0.7750190808420395
Esmeraldas Woodstar,intercept,0.8167034594332692,0.7687495770871127
Eurasian Blackbird,intercept,1.5472608518350774,0.43257523103433493
Eurasian Collared-Dove,intercept,0.756501945657595,0.1322709206244451
Eurasian Coot,intercept,0.11085732843924112,0.3832268275042133
Eurasian Curlew,intercept,0.1683805747797147,0.32486617798694467
Eurasian Jackdaw,intercept,0.896449088683621,0.3910162879028114
Eurasian Kestrel,intercept,0.8544752062863001,0.6629836027336972
Eurasian Oystercatcher,intercept,0.2524385481685314,0.38322436719041686
Eurasian Sparrowhawk,intercept,0.9838505277260807,0.7741773350315744
Eurasian Tree Sparrow,intercept,0.035465280322503956,0.5298880467313437
Eurasian Wigeon,intercept,0.15680129557753797,0.3773780175590007
European Golden-Plover,intercept,0.22803281659866048,0.37723974879050726
European Starling,intercept,0.9588655491357,0.09567788899640599
European Stonechat,intercept,1.0227154524776148,0.7204215687575729
Evening Grosbeak,intercept,1.1000854581777484,0.31071696890713735
Fernandina's Flicker,intercept,0.2535075469402056,0.6526891805034514
Ferruginous Duck,intercept,1.352929989267108,0.8095315365545067
Ferruginous Hawk,intercept,0.4126105140405402,0.5775275641876348
Field Sparrow,intercept,1.5257578045518385,0.16637627760913962
Fiji Goshawk,intercept,0.5809081599704443,0.6226285183658357
Fiji Petrel,intercept,1.1747647112305273,0.8028519883511555
Fischer's Turaco,intercept,0.8509832902596794,0.8152640315187915
Fish Crow,intercept,0.02574878715824236,0.19116852967713205
Flammulated Owl,intercept,0.7483454335188695,0.7813206904063896
Flores Crow,intercept,0.5081172993963661,0.6742460875125632
Flores Hawk-Eagle,intercept,0.05168750197926031,0.7908397511617345
Flores Scops-Owl,intercept,0.06558799704216722,0.8010628796524127
Forest Buzzard,intercept,0.8745894874420362,0.8573748153379329
Forty-spotted Pardalote,intercept,1.2695722775693432,0.5752642381377043
Fox Sparrow,intercept,1.173763785282433,0.27820515892497016
Fringe-backed Fire-eye,intercept,0.29242153003196425,0.5367893026585423
Gadwall,intercept,-0.8829796388149437,0.4738606833391038
Galapagos Hawk,intercept,-0.3332215075976793,0.4682534297784905
Galapagos Martin,intercept,0.80436627197413,0.8083842196122153
Gambel's Quail,intercept,0.4818367788253809,0.21559497734038355
Garganey,intercept,0.8135676759253355,0.8840343921749888
Genovesa Cactus-Finch,intercept,1.8636410896450584,0.46994024811678065
Genovesa Ground-Finch,intercept,1.44153854460397,0.4207533673252765
Giant Antpitta,intercept,0.9126840969591354,0.8522350357280029
Giant Kingbird,intercept,0.11952056564425406,0.4751972448048006
Gila Woodpecker,intercept,0.787236074017675,0.48423170806260524
Gilded Flicker,intercept,1.1467648078399144,0.7594600031400612
Glaucous Gull,intercept,1.070045491404262,0.8597084509364551
Gold-ringed Tanager,intercept,0.9639352625222228,0.5825305771098367
Golden-cheeked Warbler,intercept,0.7159778690308665,0.7277070818366517
Golden-crowned Kinglet,intercept,2.3105449694485687,0.2347050738959354
Golden-crowned Sparrow,intercept,1.7199023442122634,0.5123745327364544
Golden-fronted Woodpecker,intercept,0.7666390452126456,0.5105981756464386
Golden-winged Warbler,intercept,1.4170686617953852,0.5660949880607626
Golden Swallow,intercept,0.24447912723592646,0.4239406970320318
Grace's Warbler,intercept,1.4486251587943748,0.4855478742865549
Grasshopper Sparrow,intercept,2.296346917090422,0.24879118986837193
Gray-breasted Parakeet,intercept,0.2721644633141991,0.3964262893365747
Gray-cheeked Thrush,intercept,1.243970511961755,0.33322969181131845
Gray-fronted Quail-Dove,intercept,0.9201244605213402,0.7846158587858685
Gray Catbird,intercept,1.3397990102336836,0.11358919919879867
Gray Flycatcher,intercept,0.9958831924649183,0.5445350427774233
Gray Heron,intercept,0.0025585755978322355,0.40957617375682165
Gray Kingbird,intercept,0.9343978161045382,0.7236641766734422
Gray Partridge,intercept,0.9190473612041709,0.3535909588449558
Gray Vireo,intercept,1.4026245803640978,0.6573874828489431
Graylag Goose,intercept,0.17060699504904864,0.3875246403748321
Great-tailed Grackle,intercept,0.3297442362665455,0.17853841023465103
Great Cormorant,intercept,-0.46406461788151765,0.3128388795671416
Great Crested Flycatcher,intercept,1.4147462627375083,0.19111653769385886
Great Crested Grebe,intercept,-0.4660829751441763,0.39043175992416623
Great Egret,intercept,0.3291952947569906,0.8677227585963568
Great Horned Owl,intercept,1.5991678226450339,0.3093544032393329
Greater Adjutant,intercept,-0.9267579059244092,0.379761059907811
Greater Pewee,intercept,0.7037438013405324,0.7943898962923929
Greater Prairie-Chicken,intercept,0.9740804005592428,0.8232992649400789
Greater Roadrunner,intercept,0.47403136910086396,0.4113134876284738
Greater Scaup,intercept,0.23563451980873984,0.7331171363353151
Green-billed Coucal,intercept,1.1096497411083086,0.8228671965398683
Green-capped Tanager,intercept,0.49960916968092683,0.6403557220733821
Green-tailed Towhee,intercept,2.1065896521907024,0.40491239785871996
Green-winged Teal,intercept,0.0646863356910169,0.37670465280801363
Green Jay,intercept,0.24224720825621693,0.6409059414238777
Green Racquet-tail,intercept,0.6161940861652615,0.7851588806051972
Groove-billed Ani,intercept,0.14370229249932653,0.7007631547329729
Gundlach's Hawk,intercept,0.8359495632217108,0.8449211335855592
Hainan Leaf Warbler,intercept,0.30213961354526675,0.5056825774873193
Hairy Woodpecker,intercept,0.9588665925340598,0.2201480174405544
Hammond's Flycatcher,intercept,2.31108666688308,0.4849602530866007
Harris's Hawk,intercept,0.9447047320750668,0.7560896728656626
Hawaiian Coot,intercept,0.29262282821816854,0.3815672221139817
Hawaiian Goose,intercept,0.10025032973696468,0.4225504996691915
Helmeted Curassow,intercept,0.8823251566136503,0.8518550013715327
Henna-hooded Foliage-gleaner,intercept,0.9498983674937773,0.730869178589705
Henslow's Sparrow,intercept,0.24520306397995617,0.41123287784775575
Hepatic Tanager,intercept,0.4255855456232322,0.46568873476694667
Hermit Thrush,intercept,2.4371954838886873,0.2665576954184169
Hermit Warbler,intercept,1.2585036600782373,0.6413079367949287
Himalayan Quail,intercept,0.41978546068254813,0.7973973980728415
Hinde's Pied-Babbler,intercept,0.2752274320554351,0.5358504127344147
Hispaniolan Parakeet,intercept,-0.042651958025397674,0.39215019151730246
Hoary Redpoll,intercept,1.3005943136818827,0.36684974267581805
Honduran Emerald,intercept,0.5256550220186027,0.41097934346066306
Hooded Antpitta,intercept,0.8004052653916351,0.8593711100834742
Hooded Oriole,intercept,0.4893610481064775,0.6384342105479358
Hooded Warbler,intercept,2.0180914133553434,0.29164542435936236
Hook-billed Hermit,intercept,0.2386713968794799,0.7917427961092415
Horned Lark,intercept,1.9796152518843284,0.19336943405262796
Hottentot Buttonquail,intercept,0.8845084706575496,0.8497966980091433
House Finch,intercept,0.8406641161224683,0.10322281041094254
House Sparrow,intercept,1.2221100683710961,0.09305569284886138
House Wren,intercept,1.5569361445259369,0.12763464832575247
Hutton's Vireo,intercept,0.6014133206238483,0.6151888911536889
Iceland Gull,intercept,1.0650794160342114,0.8435974883462927
Imperial Parrot,intercept,1.1972930051969912,0.5666425765976475
Inca Dove,intercept,0.3073687991382408,0.41924492547401937
Indigo-winged Parrot,intercept,0.23314092086885807,0.5886978142245679
